M,c,d,e,caught,behavior
2,0.4,0.7,0.7,0,3
2,0.5,0.7,0.7,0,3
2,0.6,0.7,0.7,0,3
2,0.7,0.7,0.7,0,2
2,0.4,0.65,0.7,0,3
2,0.5,0.65,0.7,0,1
2,0.6,0.65,0.7,0,3
2,0.7,0.65,0.7,0,3
2,0.4,0.6,0.7,0,3
2,0.5,0.6,0.7,0,1
2,0.6,0.6,0.7,0,2
2,0.7,0.6,0.7,0,2
2,0.4,0.55,0.7,0,3
2,0.5,0.55,0.7,0,3
2,0.6,0.55,0.7,0,3
2,0.7,0.55,0.7,0,2
2,0.4,0.5,0.7,0,1
2,0.5,0.5,0.7,0,3
2,0.6,0.5,0.7,0,2
2,0.7,0.5,0.7,0,2
2,0.4,0.45,0.7,0,1
2,0.5,0.45,0.7,0,3
2,0.6,0.45,0.7,0,3
2,0.7,0.45,0.7,0,2
3,0.4,0.7,0.7,0,3
3,0.5,0.7,0.7,0,3
3,0.6,0.7,0.7,0,3
3,0.7,0.7,0.7,1,4
3,0.4,0.65,0.7,0,3
3,0.5,0.65,0.7,0,3
3,0.6,0.65,0.7,0,3
3,0.7,0.65,0.7,0,4
3,0.4,0.6,0.7,0,3
3,0.5,0.6,0.7,0,3
3,0.6,0.6,0.7,0,2
3,0.7,0.6,0.7,0,4
3,0.4,0.55,0.7,0,3
3,0.5,0.55,0.7,0,2
3,0.6,0.55,0.7,0,2
3,0.7,0.55,0.7,1,4
3,0.4,0.5,0.7,0,3
3,0.5,0.5,0.7,0,2
3,0.6,0.5,0.7,0,2
3,0.7,0.5,0.7,1,4
3,0.4,0.45,0.7,0,3
3,0.5,0.45,0.7,0,2
3,0.6,0.45,0.7,0,2
3,0.7,0.45,0.7,1,4
4,0.4,0.7,0.7,0,1
4,0.5,0.7,0.7,0,2
4,0.6,0.7,0.7,1,4
4,0.7,0.7,0.7,1,4
4,0.4,0.65,0.7,0,3
4,0.5,0.65,0.7,0,2
4,0.6,0.65,0.7,1,4
4,0.7,0.65,0.7,1,4
4,0.4,0.6,0.7,0,1
4,0.5,0.6,0.7,1,4
4,0.6,0.6,0.7,0,4
4,0.7,0.6,0.7,1,4
4,0.4,0.55,0.7,0,2
4,0.5,0.55,0.7,0,2
4,0.6,0.55,0.7,1,4
4,0.7,0.55,0.7,1,4
4,0.4,0.5,0.7,0,2
4,0.5,0.5,0.7,0,2
4,0.6,0.5,0.7,0,4
4,0.7,0.5,0.7,1,4
4,0.4,0.45,0.7,0,2
4,0.5,0.45,0.7,0,2
4,0.6,0.45,0.7,1,4
4,0.7,0.45,0.7,1,4
