M,c,d,e,Behavior,caught
2,0.3,0.5,1,2,0
2,0.3,0.75,0.75,2,0
2,0.3,1,0.5,2,0
2,0.4,0.5,1,2,0
2,0.4,0.75,0.75,3,0
2,0.4,1,0.5,3,0
2,0.5,0.5,1,2,0
2,0.5,0.75,0.75,3,0
2,0.5,1,0.5,3,0
2,0.8,0.5,1,4,1
2,0.8,0.75,0.75,4,1
2,0.8,1,0.5,4,1
2,0.15,0.5,1,0,0
2,0.15,0.75,0.75,0,0
2,0.15,1,0.5,0,0
3,0.3,0.5,1,1,0
3,0.3,0.75,0.75,1,0
3,0.3,1,0.5,3,0
3,0.4,0.5,1,2,0
3,0.4,0.75,0.75,3,0
3,0.4,1,0.5,3,0
3,0.5,0.5,1,2,0
3,0.5,0.75,0.75,3,0
3,0.5,1,0.5,3,0
3,0.8,0.5,1,4,1
3,0.8,0.75,0.75,4,1
3,0.8,1,0.5,4,1
3,0.15,0.5,1,0,0
3,0.15,0.75,0.75,0,0
3,0.15,1,0.5,1,0
4,0.3,0.5,1,2,0
4,0.3,0.75,0.75,2,0
4,0.3,1,0.5,3,0
4,0.4,0.5,1,2,0
4,0.4,0.75,0.75,3,0
4,0.4,1,0.5,3,0
4,0.5,0.5,1,2,0
4,0.5,0.75,0.75,2,0
4,0.5,1,0.5,3,0
4,0.8,0.5,1,4,1
4,0.8,0.75,0.75,4,1
4,0.8,1,0.5,4,1
4,0.15,0.5,1,0,0
4,0.15,0.75,0.75,0,0
4,0.15,1,0.5,0,0
5,0.3,0.5,1,2,0
5,0.3,0.75,0.75,2,0
5,0.3,1,0.5,3,0
5,0.4,0.5,1,2,1
5,0.4,0.75,0.75,2,0
5,0.4,1,0.5,2,0
5,0.5,0.5,1,4,1
5,0.5,0.75,0.75,4,1
5,0.5,1,0.5,4,1
5,0.8,0.5,1,4,1
5,0.8,0.75,0.75,4,1
5,0.8,1,0.5,4,1
5,0.15,0.5,1,0,0
5,0.15,0.75,0.75,0,0
5,0.15,1,0.5,0,0
