a,b,c,d,e,N,M,mean_std_pos
1,0.2,0.4,0.0,0.0,400,4,0.16258837195479925
1,0.2,0.4,0.0,0.0,400,4,0.5842345429711956
1,0.2,0.4,0.0,0.0,400,4,0.31179791834974696
1,0.2,0.4,0.0,0.0,400,4,0.3691542498701671
1,0.2,0.4,0.0,0.0,400,4,0.4713729760292117
1,0.2,0.4,0.0,0.1,400,4,0.1519541706512438
1,0.2,0.4,0.0,0.1,400,4,0.22119839930126692
1,0.2,0.4,0.0,0.1,400,4,0.2847787510576888
1,0.2,0.4,0.0,0.1,400,4,0.24190976231944983
1,0.2,0.4,0.0,0.1,400,4,0.390365747422479
1,0.2,0.4,0.0,0.2,400,4,0.18581506470429782
1,0.2,0.4,0.0,0.2,400,4,0.08332878768368686
1,0.2,0.4,0.0,0.2,400,4,0.03671125029927693
1,0.2,0.4,0.0,0.2,400,4,0.24766409056646918
1,0.2,0.4,0.0,0.2,400,4,0.2412552198459229
1,0.2,0.4,0.0,0.3,400,4,0.0787563141534724
1,0.2,0.4,0.0,0.3,400,4,0.05911211735077082
1,0.2,0.4,0.0,0.3,400,4,0.029404611364544198
1,0.2,0.4,0.0,0.3,400,4,0.2419566646520539
1,0.2,0.4,0.0,0.3,400,4,0.16627609524878798
1,0.2,0.4,0.0,0.4,400,4,0.03161463598862062
1,0.2,0.4,0.0,0.4,400,4,0.04009106999338163
1,0.2,0.4,0.0,0.4,400,4,0.2812740261579985
1,0.2,0.4,0.0,0.4,400,4,0.3066190350645528
1,0.2,0.4,0.0,0.4,400,4,0.03174922978308453
1,0.2,0.4,0.0,0.5,400,4,0.10098178447677543
1,0.2,0.4,0.0,0.5,400,4,0.042331515916537554
1,0.2,0.4,0.0,0.5,400,4,0.9146967993724828
1,0.2,0.4,0.0,0.5,400,4,0.7532816333725816
1,0.2,0.4,0.0,0.5,400,4,0.03414517478906988
1,0.2,0.4,0.0,0.6,400,4,0.5405421153879351
1,0.2,0.4,0.0,0.6,400,4,0.027684490052446477
1,0.2,0.4,0.0,0.6,400,4,0.9415356364118227
1,0.2,0.4,0.0,0.6,400,4,0.035999644967457264
1,0.2,0.4,0.0,0.6,400,4,0.25166089981381906
1,0.2,0.4,0.0,0.7,400,4,1.7142396185725794
1,0.2,0.4,0.0,0.7,400,4,0.05179118496251435
1,0.2,0.4,0.0,0.7,400,4,1.1252478416498097
1,0.2,0.4,0.0,0.7,400,4,1.1099169423500477
1,0.2,0.4,0.0,0.7,400,4,0.5221909462423255
1,0.2,0.4,0.0,0.8,400,4,0.8260915067401715
1,0.2,0.4,0.0,0.8,400,4,1.1570813531573576
1,0.2,0.4,0.0,0.8,400,4,1.3775751446739448
1,0.2,0.4,0.0,0.8,400,4,1.2095217897881139
1,0.2,0.4,0.0,0.8,400,4,0.09070882641221098
1,0.2,0.4,0.0,0.9,400,4,1.2477238169803195
1,0.2,0.4,0.0,0.9,400,4,1.1287712307907112
